"Timestamp","1. เพศของท่าน","2. อายุของท่าน","3.  ท่านเคยเข้าชมคอนเสิร์ตประจำปีของ Kangwan Singers มาก่อนหรือไม่ ","4. ท่านเคยร้องเพลงประสานเสียงอยู่แล้วหรือไม่","5.  ความประทับใจของท่านโดยรวมต่อคอนเสิร์ต ","6.  คุณภาพการขับร้องประสานเสียง ","7.  การถ่ายทอดอารมณ์และเรื่องราว ","8.  การลำดับเพลงและการดำเนินรายการ ","9.  สถานที่จัดแสดง ","10.  ความคุ้มค่าในการเข้าชม ","11. เพลงที่ท่านชอบที่สุด","12. การแสดงไหนที่ท่านประทับใจที่สุด","13.  เมื่อท่านเข้าชมคอนเสิร์ตประสานเสียง ท่านคาดหวังสิ่งใดมากที่สุด (เลือกได้ไม่เกิน 3 ข้อ)","14.  ท่านชอบ/อยากฟังเพลงร้องประสานเสียงประเภทไหนเป็นพิเศษ (ตอบได้มากกว่า 1 ข้อ)","15.  สิ่งที่ท่านชื่นชอบมากที่สุดในคอนเสิร์ตครั้งนี้คืออะไร ","16.  สิ่งที่ท่านคิดว่าควรปรับปรุงคืออะไร ","17.  มีสิ่งใดที่ท่านอยากเห็นจาก Kangwan Singers ในอนาคตหรือไม่ ","18. มีข้อความใดที่อยากฝากถึงสมาชิก Kangwan Singers หรือทีมงานหรือไม่  "
"6/3/2026 17:34:38","หญิง","20 - 29 ปี","ครั้งแรก","ไม่ได้ร้อง","4","5","5","5","4","5","A Dream is a Wish Your Heart Makes","ชีวิตลิขิตเอง","ความไพเราะของเสียงร้อง, ความสนุกสนาน, ความซาบซึ้งทางอารมณ์","เพลงสมัยนิยมภาษาต่างประเทศ (K-Pop J-Pop etc.), เพลงจากละครเวทีภาษาต่างประเทศ","","","",""
"6/3/2026 17:34:48","ชาย","20 - 29 ปี","ครั้งแรก","ไม่ได้ร้อง","5","5","5","5","5","5","ชีวิตลิขิตเอง","Into the New World","ความไพเราะของเสียงร้อง, ความสนุกสนาน, ความซาบซึ้งทางอารมณ์","เพลงสมัยนิยมภาษาไทย (T-Pop), เพลงจากภาพยนตร์หรือซีรี่ย์ไทย, เพลงร่วมสมัย ( Contemporary Music) หรือ ผลงานเพลงที่เน้นการขายไอเดียของผู้ประพันธ์ ภาษาไทยหรือภาษาต่างประเทศ","","","",""
"6/3/2026 17:35:07","หญิง","60 ปีขึ้นไป","ครั้งแรก","ร้อง","5","5","4","4","4","4","เจ้านายคะ","Lux Aeterna","ความไพเราะของเสียงร้อง, ความสนุกสนาน, ความซาบซึ้งทางอารมณ์","เพลงศักดิ์สิทธิ์ (Sacred Music) หรือ เพลงจากศาสนาคริสต์ และเพลงจากศาสนาต่าง ๆ","ทุกอย่างค่ะ","-","ก็คงพัฒนาขึ้นไปเรื่อยๆ",""
"6/3/2026 17:35:49","หญิง","60 ปีขึ้นไป","ครั้งที่ 2","ร้อง","5","4","4","4","4","5","Zoo","Till There Was You","ความไพเราะของเสียงร้อง, ความซาบซึ้งทางอารมณ์, การเล่าเรื่องผ่านบทเพลง","เพลงสมัยนิยมภาษาอังกฤษ, เพลงจากละครเวทีภาษาต่างประเทศ, เพลงไทยแนวอื่น (ลูกทุ่ง ลูกกรุง ฯลฯ)","เพลงไพเราะ ผู้แสดงมีความตั้งใจทุ่มเท","สถานที่ เวทีเล็ก ในการแสดงที่มีเต้น ดูอึดอัดไปหน่อย","","ร้องได้ดพราะมาก ชื่นชม ค่ะ"
"6/3/2026 17:36:05","ชาย","40 - 49 ปี","ครั้งแรก","ไม่ได้ร้อง","5","5","5","5","5","5","ชีวิตลิขิตเอง","Zoo","ความไพเราะของเสียงร้อง, ความสนุกสนาน, การเล่าเรื่องผ่านบทเพลง","เพลงศักดิ์สิทธิ์ (Sacred Music) หรือ เพลงจากศาสนาคริสต์ และเพลงจากศาสนาต่าง ๆ, เพลงตามยุคสมัยดนตรีตะวันตก (Early Music, Classical, Romantic, 20th century) ภาษาอิตาเลี่ยน เยอรมัน ฝรั่งเศส อังกฤษ, เพลงพื้นบ้าน (Folklore) ภาษาไทยและภาษาต่างประเทศ, เพลงร่วมสมัย ( Contemporary Music) หรือ ผลงานเพลงที่เน้นการขายไอเดียของผู้ประพันธ์ ภาษาไทยหรือภาษาต่างประเทศ","Unity","No","Full production",""
"6/3/2026 17:36:26","หญิง","50 - 59 ปี","ครั้งแรก","ร้อง","5","5","5","5","5","5","ชีวิตลิขิตเอง","เจ้านายคะ","ความไพเราะของเสียงร้อง, ความสนุกสนาน, ความซาบซึ้งทางอารมณ์","เพลงศักดิ์สิทธิ์ (Sacred Music) หรือ เพลงจากศาสนาคริสต์ และเพลงจากศาสนาต่าง ๆ, เพลงสมัยนิยมภาษาอังกฤษ, เพลงจากภาพยนตร์หรือซีรี่ย์ต่างประเทศ","ความเป็นน้ำหนึ่งใจเดียวกันของทีม","เวลาแสดงน้อยไปหน่อย","จัดให้ใหญ่กว่านี้","ทำได้ดีมาก เก่งมากค่ะ"
"6/3/2026 17:36:38","หญิง","40 - 49 ปี","ครั้งแรก","ไม่ได้ร้อง","5","4","5","4","3","2","ยื้อ","Lesbia Mi Dicit Semper Male","ความซาบซึ้งทางอารมณ์, การเล่าเรื่องผ่านบทเพลง, การแสดงที่สร้างแรงบันดาลใจ","เพลงศักดิ์สิทธิ์ (Sacred Music) หรือ เพลงจากศาสนาคริสต์ และเพลงจากศาสนาต่าง ๆ, เพลงร่วมสมัย ( Contemporary Music) หรือ ผลงานเพลงที่เน้นการขายไอเดียของผู้ประพันธ์ ภาษาไทยหรือภาษาต่างประเทศ","เพลงที่หลากหบาย การนำมารวมกัน ตามคอนเซ็ป หวัง ไห้ หาย","","","เป็นกำลังใจค่ะ ทำต่อนะคะ 😘✌️👍"
"6/3/2026 17:36:54","หญิง","40 - 49 ปี","ครั้งแรก","ไม่ได้ร้อง","5","5","5","5","4","5","ชีวิตลิขิตเอง","Zoo","ความไพเราะของเสียงร้อง, การเล่าเรื่องผ่านบทเพลง, การแสดงที่สร้างแรงบันดาลใจ","เพลงตามยุคสมัยดนตรีตะวันตก (Early Music, Classical, Romantic, 20th century) ภาษาอิตาเลี่ยน เยอรมัน ฝรั่งเศส อังกฤษ, เพลงสมัยนิยมภาษาไทย (T-Pop), เพลงจากภาพยนตร์หรือซีรี่ย์ต่างประเทศ, เพลงจากละครเวทีภาษาต่างประเทศ","ประทับใจในนักร้องที่ดูอินกับการแสดงและมีความตั้งใจในการถ่ายทอดเรื่องราวผ่านบทเพลงค่ะ เห็นแล้วมีแรงบันดาลใจในการผ่านเรื่องยากลำบาก เลือกเพลงได้เหมาะสมกับธีมด้วยค่ะ","ไม่มีค่ะ","อยากให้มีผู้เข้าร่วมคณะเยอะขึ้นค่ะ วงจะได้สามารถถ่ายทอดบทเพลงได้หลากหลายขึ้น","เก่งมากเลยค่ะ ประทับใจ และขอให้ยืนหยัดเพื่อการแสดงประสานเสียงต่อไปนะคะ จะเป็นกำลังใจให้ค่ะ (จะไปติดตามใน IG ด้วยค่ะ ❤️)"
"6/3/2026 17:36:56","ชาย","20 - 29 ปี","ครั้งแรก","ร้อง","4","5","5","5","3","5","ชีวิตลิขิตเอง","เจ้านายคะ","ความไพเราะของเสียงร้อง, ความสนุกสนาน, ความซาบซึ้งทางอารมณ์","เพลงสมัยนิยมภาษาอังกฤษ, เพลงสมัยนิยมภาษาต่างประเทศ (K-Pop J-Pop etc.), เพลงไทยแนวอื่น (ลูกทุ่ง ลูกกรุง ฯลฯ)","","","",""
"6/3/2026 17:37:14","หญิง","30 - 39 ปี","ครั้งแรก","ไม่ได้ร้อง","5","5","5","5","5","5","A Dream is a Wish Your Heart Makes","Till There Was You","ความไพเราะของเสียงร้อง, ความซาบซึ้งทางอารมณ์","เพลงสมัยนิยมภาษาอังกฤษ","","","",""
"6/3/2026 17:37:21","หญิง","20 - 29 ปี","ครั้งแรก","ไม่ได้ร้อง","5","5","5","5","5","5","Lesbia Mi Dicit Semper Male","Into the New World","ความไพเราะของเสียงร้อง, ความสนุกสนาน, ความซาบซึ้งทางอารมณ์, การเล่าเรื่องผ่านบทเพลง, การเรียนรู้วัฒนธรรมและดนตรีใหม่, การแสดงที่สร้างแรงบันดาลใจ, ความเป็นศิลปะร่วมสมัย","เพลงศักดิ์สิทธิ์ (Sacred Music) หรือ เพลงจากศาสนาคริสต์ และเพลงจากศาสนาต่าง ๆ, เพลงตามยุคสมัยดนตรีตะวันตก (Early Music, Classical, Romantic, 20th century) ภาษาอิตาเลี่ยน เยอรมัน ฝรั่งเศส อังกฤษ, เพลงพื้นบ้าน (Folklore) ภาษาไทยและภาษาต่างประเทศ","","","","Really good singers "
"6/3/2026 17:37:55","ชาย","20 - 29 ปี","ครั้งแรก","ไม่ได้ร้อง","5","5","4","4","5","5","ชีวิตลิขิตเอง","Zoo","ความไพเราะของเสียงร้อง, ความซาบซึ้งทางอารมณ์, การเล่าเรื่องผ่านบทเพลง","เพลงตามยุคสมัยดนตรีตะวันตก (Early Music, Classical, Romantic, 20th century) ภาษาอิตาเลี่ยน เยอรมัน ฝรั่งเศส อังกฤษ, เพลงจากละครเวทีภาษาไทย, เพลงจากละครเวทีภาษาต่างประเทศ, เพลงร่วมสมัย ( Contemporary Music) หรือ ผลงานเพลงที่เน้นการขายไอเดียของผู้ประพันธ์ ภาษาไทยหรือภาษาต่างประเทศ","","","",""
"6/3/2026 17:38:13","หญิง","20 - 29 ปี","ครั้งแรก","ไม่ได้ร้อง","5","5","5","5","5","5","Zoo","Zoo","ความไพเราะของเสียงร้อง, ความสนุกสนาน, ความซาบซึ้งทางอารมณ์, การเล่าเรื่องผ่านบทเพลง, การเรียนรู้วัฒนธรรมและดนตรีใหม่, การแสดงที่สร้างแรงบันดาลใจ, ความเป็นศิลปะร่วมสมัย, การมีส่วนร่วมกับผู้แสดง","เพลงสมัยนิยมภาษาอังกฤษ, เพลงสมัยนิยมภาษาต่างประเทศ (K-Pop J-Pop etc.), เพลงจากภาพยนตร์หรือซีรี่ย์ไทย, เพลงจากภาพยนตร์หรือซีรี่ย์ต่างประเทศ, เพลงจากละครเวทีภาษาไทย, เพลงจากละครเวทีภาษาต่างประเทศ","","","",""
"6/3/2026 17:38:35","ชาย","20 - 29 ปี","ครั้งแรก","ไม่ได้ร้อง","5","5","5","5","5","5","Lux Aeterna","Into the New World","ความซาบซึ้งทางอารมณ์, การเรียนรู้วัฒนธรรมและดนตรีใหม่, การแสดงที่สร้างแรงบันดาลใจ","เพลงศักดิ์สิทธิ์ (Sacred Music) หรือ เพลงจากศาสนาคริสต์ และเพลงจากศาสนาต่าง ๆ, เพลงตามยุคสมัยดนตรีตะวันตก (Early Music, Classical, Romantic, 20th century) ภาษาอิตาเลี่ยน เยอรมัน ฝรั่งเศส อังกฤษ, เพลงร่วมสมัย ( Contemporary Music) หรือ ผลงานเพลงที่เน้นการขายไอเดียของผู้ประพันธ์ ภาษาไทยหรือภาษาต่างประเทศ","","","",""
"6/3/2026 17:38:44","หญิง","20 - 29 ปี","มากกว่า 4 ครั้ง","ไม่ได้ร้อง","5","5","5","5","5","5","Zoo","Zoo","ความไพเราะของเสียงร้อง","เพลงสมัยนิยมภาษาไทย (T-Pop), เพลงสมัยนิยมภาษาต่างประเทศ (K-Pop J-Pop etc.), เพลงพื้นบ้าน (Folklore) ภาษาไทยและภาษาต่างประเทศ, เพลงร่วมสมัย ( Contemporary Music) หรือ ผลงานเพลงที่เน้นการขายไอเดียของผู้ประพันธ์ ภาษาไทยหรือภาษาต่างประเทศ","","","",""
"6/3/2026 17:38:51","หญิง","40 - 49 ปี","ครั้งแรก","ร้อง","5","4","5","4","5","5","Zoo","Zoo","ความไพเราะของเสียงร้อง, การเล่าเรื่องผ่านบทเพลง, การแสดงที่สร้างแรงบันดาลใจ","เพลงศักดิ์สิทธิ์ (Sacred Music) หรือ เพลงจากศาสนาคริสต์ และเพลงจากศาสนาต่าง ๆ, เพลงตามยุคสมัยดนตรีตะวันตก (Early Music, Classical, Romantic, 20th century) ภาษาอิตาเลี่ยน เยอรมัน ฝรั่งเศส อังกฤษ, เพลงจากละครเวทีภาษาต่างประเทศ","เต้นประกอบเพลง ","-","ทีมที่ขยายใหญ่ขึ้น","ประทับใจเพลงzoo ที่หยิบเครื่งดนตรีมาใช้"
"6/3/2026 17:39:20","หญิง","20 - 29 ปี","ครั้งที่ 2","ร้อง","3","4","5","3","3","4","A Dream is a Wish Your Heart Makes","Zoo","ความไพเราะของเสียงร้อง, ความซาบซึ้งทางอารมณ์, การเล่าเรื่องผ่านบทเพลง, การแสดงที่สร้างแรงบันดาลใจ","เพลงตามยุคสมัยดนตรีตะวันตก (Early Music, Classical, Romantic, 20th century) ภาษาอิตาเลี่ยน เยอรมัน ฝรั่งเศส อังกฤษ, เพลงจากละครเวทีภาษาต่างประเทศ, เพลงร่วมสมัย ( Contemporary Music) หรือ ผลงานเพลงที่เน้นการขายไอเดียของผู้ประพันธ์ ภาษาไทยหรือภาษาต่างประเทศ","ตำแหน่งการยืนแบบมิกซ์ ขนาดฮอล์ ซาวด์ไม่ปรุงแต่งเยอะ","ที่นั่งน้อย จองยาก เต็มไวมาก","เพลงที่มีการประพันธ์น่าสนใจ","จะสนับสนุนเสมอถ้ามีโอกาสค่ะ"
"6/3/2026 17:39:33","หญิง","60 ปีขึ้นไป","มากกว่า 4 ครั้ง","ไม่ได้ร้อง","4","4","4","4","5","4","Until Love is Spoken","เจ้านายคะ","ความไพเราะของเสียงร้อง","เพลงศักดิ์สิทธิ์ (Sacred Music) หรือ เพลงจากศาสนาคริสต์ และเพลงจากศาสนาต่าง ๆ, เพลงตามยุคสมัยดนตรีตะวันตก (Early Music, Classical, Romantic, 20th century) ภาษาอิตาเลี่ยน เยอรมัน ฝรั่งเศส อังกฤษ, เพลงร่วมสมัย ( Contemporary Music) หรือ ผลงานเพลงที่เน้นการขายไอเดียของผู้ประพันธ์ ภาษาไทยหรือภาษาต่างประเทศ","ความเป็นหนึ้งเดียว","แข็งเกร็งเกินไปในการร้อง","ทำต่อไปนะคะ","ส่งกำลังใจค่ะ"
"6/3/2026 17:40:03","หญิง","40 - 49 ปี","ครั้งแรก","ไม่ได้ร้อง","5","5","5","5","5","5","ชีวิตลิขิตเอง","เจ้านายคะ","ความไพเราะของเสียงร้อง, ความสนุกสนาน, การเล่าเรื่องผ่านบทเพลง","เพลงศักดิ์สิทธิ์ (Sacred Music) หรือ เพลงจากศาสนาคริสต์ และเพลงจากศาสนาต่าง ๆ, เพลงตามยุคสมัยดนตรีตะวันตก (Early Music, Classical, Romantic, 20th century) ภาษาอิตาเลี่ยน เยอรมัน ฝรั่งเศส อังกฤษ, เพลงพื้นบ้าน (Folklore) ภาษาไทยและภาษาต่างประเทศ","ร้องเพลงเพราะมากๆ ค่ะ","ไม่มี","-","เยี่ยมมากๆ ค่ะ"
"6/3/2026 17:40:50","หญิง","40 - 49 ปี","ครั้งที่ 2","ไม่ได้ร้อง","5","5","5","5","5","5","ชีวิตลิขิตเอง","Zoo","ความไพเราะของเสียงร้อง, ความซาบซึ้งทางอารมณ์","เพลงสมัยนิยมภาษาต่างประเทศ (K-Pop J-Pop etc.)","","","",""
"6/3/2026 17:41:34","ชาย","20 - 29 ปี","ครั้งแรก","ไม่ได้ร้อง","5","5","4","5","5","5","Until Love is Spoken","เจ้านายคะ","ความไพเราะของเสียงร้อง, ความสนุกสนาน, ความซาบซึ้งทางอารมณ์","เพลงตามยุคสมัยดนตรีตะวันตก (Early Music, Classical, Romantic, 20th century) ภาษาอิตาเลี่ยน เยอรมัน ฝรั่งเศส อังกฤษ, เพลงสมัยนิยมภาษาไทย (T-Pop), เพลงสมัยนิยมภาษาอังกฤษ","อารมณ์ที่ถ่ายทอดออกมา","การเล่าเรื่องเพิ่มอีกสักหน่อยครับ","ดนตรีเพิ่มขึ้น","ขอบคุณมากครับสำหรับอันนี้ขอบคุณมากครับสำหรับอันนี้อันนี้เป็นครั้งแรกที่ผมเคยฟังผมประทับใจมากครับ ครั้งหน้าจะมาอีกครับ"
"6/3/2026 17:42:12","ชาย","60 ปีขึ้นไป","ครั้งแรก","ไม่ได้ร้อง","5","5","5","5","5","5","ยื้อ","Into the New World","ความไพเราะของเสียงร้อง, การเล่าเรื่องผ่านบทเพลง, การแสดงที่สร้างแรงบันดาลใจ","เพลงสมัยนิยมภาษาไทย (T-Pop), เพลงจากภาพยนตร์หรือซีรี่ย์ต่างประเทศ, เพลงไทยแนวอื่น (ลูกทุ่ง ลูกกรุง ฯลฯ)","เพลงเพราะ ร้องดี","การจัดที่นั่งให้สลับให้เกิดช่องว่างจะได้ไม่บังกัน","ดีแล้ว","ดีแล้ว"
"6/3/2026 17:42:51","หญิง","60 ปีขึ้นไป","ครั้งที่ 2","ไม่ได้ร้อง","5","5","5","5","4","5","Into the New World","เจ้านายคะ","ความไพเราะของเสียงร้อง, ความสนุกสนาน, การเล่าเรื่องผ่านบทเพลง","เพลงสมัยนิยมภาษาต่างประเทศ (K-Pop J-Pop etc.), เพลงจากภาพยนตร์หรือซีรี่ย์ไทย, เพลงจากภาพยนตร์หรือซีรี่ย์ต่างประเทศ","ความเบิกบานในใจของนักร้อง","ที่นั่ง ควรจัดสับหว่างกัน","เพลงประกอบละครพร้อมการแสดง","你们真厉害 ！"
"6/3/2026 17:44:36","หญิง","20 - 29 ปี","ครั้งที่ 3","ร้อง","4","5","4","4","3","5","Till There Was You","Zoo","ความไพเราะของเสียงร้อง, ความซาบซึ้งทางอารมณ์","เพลงศักดิ์สิทธิ์ (Sacred Music) หรือ เพลงจากศาสนาคริสต์ และเพลงจากศาสนาต่าง ๆ, เพลงตามยุคสมัยดนตรีตะวันตก (Early Music, Classical, Romantic, 20th century) ภาษาอิตาเลี่ยน เยอรมัน ฝรั่งเศส อังกฤษ, เพลงจากละครเวทีภาษาไทย, เพลงจากละครเวทีภาษาต่างประเทศ, เพลงร่วมสมัย ( Contemporary Music) หรือ ผลงานเพลงที่เน้นการขายไอเดียของผู้ประพันธ์ ภาษาไทยหรือภาษาต่างประเทศ","เพลงเพราะ เข้าถึงง่าย นักร้องสายตามีความสุข ดูแล้วรู้สึกแฮปปี้ไปด้วยค่ะ","ควรมีการกันแขกเดินเข้าออกระหว่างเพลง","เพลงใหม่ๆ จากละครเวที","สู้ๆทุกคน ร้องต่อไปนะคะ อยากฟังผลงานดีๆ เป็นกำลังใจให้ค่ะ  เก่งทุกคนเลย"
